PROJ_NAME,TRACK GROUP,TRACK,DOMAIN,TASK,category,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM tools updates by ESX update,automatable,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,Patch Management ,automatable,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM Deployment with command,automatable,,
Alkermes,WINTEL DOMAIN,Vmware,"Tools, Optibot, Python & Misc",Performance report,automatable,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,"Report for snapshot, CDP and etc",automatable,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM Hardware installation with commands,automatable,,
Alkermes,WINTEL DOMAIN,Vmware,Powershell,VM Startup and Shutdown with commands,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Device Up/Down,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Link/Interface Up Down,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,CPU Utilization,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Physical Memory Utilization,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Fan status,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Power Supply status,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Device Temperature,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Link Utilization,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Device Uptime,automatable,,
Alkermes,WINTEL DOMAIN,Active Directory,Powershell,"fetch report of switchport status on one or multiple switches. [example headings: switchname, switchport interface number, interface status, learning mac address on the interface, interface description,..]",automatable,,
Alkermes,NETWORKS DOMAIN,Network,Perl,fetch list of accesspoint client details with IP address & hostnmaes,automatable,,
Alkermes,NETWORKS DOMAIN,Network,ShellScript,Fetch list of APs associated in WLC with High Availability details,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Add/Delete users to/from AD groups,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Creating new admins in security appliances,automatable,,
Alkermes,NETWORKS DOMAIN,Network,Powershell,Check the VPN tunnel status in firewall,automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Catalog backups and Confidential Restore,automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Handling tapes for ejection / insertion,automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Manage drive cleanings,automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Monitoring backup alert failures,automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Handling tapes ejection and insertion at every vault cycle (weekly/monthly),automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Troubleshooting of Exceeded Disk Thresholds and inconsistency in Replica,automatable,,
Alkermes,WINTEL DOMAIN,Active Directory,Powershell,Monitor Backup jobs,automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Configuration changes in Existing Vault profiles (including catalog and tape management for vault),automatable,,
Alkermes,STORAGE AND BACKUP DOMAIN,Backup,Powershell,Send Backup Report on daily basis and review them for accuracy on monthly basis.,automatable,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Provide system administration services including mailbox administration, add/move/ send of behalf/ mailbox permissions",automatable,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Provide public folder administration services, including creation/deletion of folders, folder owner permissions and ownership assignment, and folder replication management.",automatable,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Organizational Unit creation, deletion and delegation.",automatable,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Backing up / restoring Active Directory objects.,automatable,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,"Delegating administration (creating admin accounts and groups, delegating permissions to these accounts and groups).",automatable,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Day to day Active Directory user administration.,automatable,,
Alkermes,WINTEL DOMAIN,AD & Messaging,Powershell,Reviewing all performance related reports (Health Monitoring reports).,automatable,,
